"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000223972",2.46823190608292,0.682097597306958,0.696142710503623,0.97982437654701,0.327172817185538,0.630029254076678,"DDX11L1",NA
"ENSG00000227232",703.913194096269,-0.166700548873979,0.209327862275152,-0.796361015022735,0.4258222308262,0.712696843015605,NA,NA
"ENSG00000243485",1.65379907479822,-0.413473200895654,0.917820855420444,-0.450494449383857,0.652353955582283,0.856759168032771,NA,NA
"ENSG00000237613",1.05107039541176,1.08973840875832,1.1216852644861,0.971518877229418,0.331289957447704,0.634035983927653,"FAM138A",NA
"ENSG00000268020",0.499085044973889,-0.332662683943004,1.29975894634954,-0.255941830504271,0.797995753993229,NA,NA,NA
"ENSG00000240361",1.12125694215739,0.533250745977481,0.870835493451701,0.61234383530218,0.540310293062119,0.791832294651999,NA,NA
"ENSG00000186092",1.51464163488282,0.928601967364815,0.864562947066281,1.0740709748386,0.282790872273946,0.585748812346893,"OR4F5","GO:0004930"
"ENSG00000238009",8.60030957667609,0.0573384831062141,0.5742639772954,0.0998469090404383,0.920465866068591,0.97297308084211,"LOC100996442",NA
"ENSG00000233750",30.8879451165317,-0.399707173255504,0.609579509847448,-0.65570966018122,0.512010952123375,0.774220721709038,NA,NA
"ENSG00000237683",768.456284445508,0.161204161079545,0.411678470854221,0.391577827096594,0.695370173597577,0.879268322023489,NA,NA
"ENSG00000268903",3.23025737520392,0.13588917429986,0.578867204078798,0.234750169542101,0.814402645911773,0.931864357242728,NA,NA
"ENSG00000239906",10.557517315862,0.247037506230939,0.57275077024091,0.431317632496645,0.666237431227453,0.863874047024124,NA,NA
"ENSG00000241860",83.9431647633359,-0.206655525098968,0.310104520871366,-0.666406037932902,0.505151604217333,0.770123061896645,NA,NA
"ENSG00000222623",0.0606116738948831,-0.104503420559749,3.64968891400214,-0.0286335145329287,0.977156882304159,NA,NA,NA
"ENSG00000241599",0.96352288046703,0.437959898758768,1.04628385463799,0.4185861196437,0.67551863552443,0.868751372385417,NA,NA
"ENSG00000228463",47.0051676548432,0.299296661744228,0.486218151471192,0.61556044511835,0.538184664151961,0.79065696309099,NA,NA
"ENSG00000237094",33.9971303358491,-0.386886311570488,0.340013061182556,-1.13785720532296,0.255180113340901,0.554969777628025,NA,NA
"ENSG00000250575",2.82454613003945,-0.217454413198451,0.53878331799442,-0.403602721049176,0.686504884422335,0.874779102069703,NA,NA
"ENSG00000233653",5.90433840851665,0.303989142061354,0.414081578227423,0.734128630794572,0.462870345472063,0.740867324792036,NA,NA
"ENSG00000224813",0,NA,NA,NA,NA,NA,NA,NA
