"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000223972",2.46823190608292,-0.506593549328503,0.649229336762504,-0.780299842663797,0.435214405402849,0.953291388478706,"DDX11L1",NA
"ENSG00000227232",703.913194096269,-0.109513559323702,0.209437857000647,-0.522892856583055,0.601048815952088,0.98045612467988,NA,NA
"ENSG00000243485",1.65379907479822,-2.5783289351789,0.81642325585627,-3.15807874982044,0.0015881265034332,0.149565827087083,NA,NA
"ENSG00000237613",1.05107039541176,-1.27726670668977,0.98310765349482,-1.29921347082312,0.193870679803148,NA,"FAM138A",NA
"ENSG00000268020",0.499085044973889,0.564688910437072,1.34526171500069,0.419761377388771,0.674659782295886,NA,NA,NA
"ENSG00000240361",1.12125694215739,-0.583868438903633,0.796643658284814,-0.732910420903507,0.463613066813478,NA,NA,NA
"ENSG00000186092",1.51464163488282,-0.672735660447693,0.770047710661311,-0.873628544223517,0.382320576190693,0.939374118835669,"OR4F5","GO:0004930"
"ENSG00000238009",8.60030957667609,0.647957052008931,0.586447484385996,1.10488503959964,0.269209405685153,0.91581558617485,"LOC100996442",NA
"ENSG00000233750",30.8879451165317,-1.88908382922465,0.604858923298725,-3.12318088806913,0.0017890775563593,0.163519459271107,NA,NA
"ENSG00000237683",768.456284445508,0.114683441711813,0.411708755353504,0.278554779854858,0.780586519957627,0.995720192026932,NA,NA
"ENSG00000268903",3.23025737520392,0.841718586002577,0.616276608059853,1.36581297260731,0.171997673589929,0.871153449182669,NA,NA
"ENSG00000239906",10.557517315862,0.165688633751882,0.573926017387686,0.288693365925524,0.772816039874319,0.995337565395347,NA,NA
"ENSG00000241860",83.9431647633359,0.103500850054366,0.311433364124079,0.332337064609204,0.739634755323864,0.993723847744319,NA,NA
"ENSG00000222623",0.0606116738948831,-0.287588076965054,3.64973752994955,-0.0787969202182682,0.937194153742128,NA,NA,NA
"ENSG00000241599",0.96352288046703,-0.979582586971003,0.953498509362182,-1.0273561807939,0.304252776992182,NA,NA,NA
"ENSG00000228463",47.0051676548432,-0.00383870574687037,0.48580140337228,-0.00790180044813226,0.993695341028814,0.999742526804964,NA,NA
"ENSG00000237094",33.9971303358491,-0.0877617986038695,0.342808583865086,-0.256008171132636,0.797944527873546,0.996117791351838,NA,NA
"ENSG00000250575",2.82454613003945,0.0557669200434152,0.558685701596315,0.0998180549172354,0.920488773887434,0.996117791351838,NA,NA
"ENSG00000233653",5.90433840851665,-0.148747491279674,0.406027652779003,-0.366348179148861,0.714105282859044,0.992961594817383,NA,NA
"ENSG00000224813",0,NA,NA,NA,NA,NA,NA,NA
