"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000223972",2.46823190608292,-1.18869114663546,0.676752393645434,-1.75646389698363,0.0790092307703652,0.292720270434619,"DDX11L1",NA
"ENSG00000227232",703.913194096269,0.0571869895502778,0.209263197949233,0.273277815261867,0.784639667371412,0.91118708389076,NA,NA
"ENSG00000243485",1.65379907479822,-2.16485573428325,0.74564989710915,-2.9033139314795,0.00369236307498618,0.0441084040134445,NA,NA
"ENSG00000237613",1.05107039541176,-2.36700511544809,1.04940446228125,-2.25556989752318,0.0240975802159779,NA,"FAM138A",NA
"ENSG00000268020",0.499085044973889,0.897351594380076,1.31438998535319,0.682713353251052,0.494787990223506,NA,NA,NA
"ENSG00000240361",1.12125694215739,-1.11711918488111,0.830885380734276,-1.3444925266273,0.178789171475878,NA,NA,NA
"ENSG00000186092",1.51464163488282,-1.60133762781251,0.831920809876384,-1.92486785857713,0.0542458918663427,0.237682231401826,"OR4F5","GO:0004930"
"ENSG00000238009",8.60030957667609,0.590618568902716,0.584837466370552,1.00988497294478,0.312550402958456,0.605674786816257,"LOC100996442",NA
"ENSG00000233750",30.8879451165317,-1.48937665596914,0.60088000523368,-2.47865903840473,0.0131877304098813,0.100811574386532,NA,NA
"ENSG00000237683",768.456284445508,-0.0465207193677315,0.41170287361567,-0.112995857811668,0.91003383916986,0.963741077368053,NA,NA
"ENSG00000268903",3.23025737520392,0.705829411702717,0.614775506593162,1.14810919454833,0.250923488952598,0.54171550321259,NA,NA
"ENSG00000239906",10.557517315862,-0.0813488724790572,0.574628595570516,-0.141567741504912,0.887421448799063,0.954156114131848,NA,NA
"ENSG00000241860",83.9431647633359,0.310156375153334,0.310394318430091,0.999233416133514,0.317681631764352,0.61137824823446,NA,NA
"ENSG00000222623",0.0606116738948831,-0.183084656405305,3.64968891400214,-0.0501644553054633,0.959991336431446,NA,NA,NA
"ENSG00000241599",0.96352288046703,-1.41754248572977,0.979318445841682,-1.44747859263639,0.147762927876217,NA,NA,NA
"ENSG00000228463",47.0051676548432,-0.303135367491099,0.48617129016292,-0.62351556668333,0.532945775976894,0.773845030497768,NA,NA
"ENSG00000237094",33.9971303358491,0.299124512966619,0.339316727400089,0.881549563614412,0.378020440056851,0.662727319439973,NA,NA
"ENSG00000250575",2.82454613003945,0.273221333241866,0.541555264360723,0.504512376154979,0.613901367446969,0.822710048134886,NA,NA
"ENSG00000233653",5.90433840851665,-0.452736633341028,0.409767134715112,-1.10486321372696,0.269218864350749,0.561541488126836,NA,NA
"ENSG00000224813",0,NA,NA,NA,NA,NA,NA,NA
